"","id","firstname","lastname","birth_date","birth_country","nba_start","nba_pro","height_inches","weight_pounds","pos"
"1",553,"Lou","Williams","1986-10-27","USA",2005,16,74,175,"G"
"2",152,"Kris","Dunn","1994-03-18","USA",2016,0,NA,NA,NA
"3",761,"John","Collins","1997-09-23","USA",2017,4,81,226,"F-C"
"4",1858,"Bruno","Fernando","1998-08-15","Angola",2019,2,81,240,"F-C"
"5",980,"Kevin","Huerter","1998-08-27","USA",2018,3,79,198,"G-F"
"6",1046,"Trae","Young","1998-09-19","USA",2018,3,73,164,"G"
"7",1063,"Brandon","Goodwin","1995-10-02","USA",2018,3,72,180,"G"
"8",1889,"Cam","Reddish","1999-09-01","USA",2019,2,80,217,"F-G"
"9",1868,"De'Andre","Hunter","1997-12-02","USA",2019,2,80,221,"F-G"
"10",2629,"Onyeka","Okongwu","2000-12-11","USA",2020,1,80,240,"F-C"
"11",2620,"Skylar","Mays","1997-09-05","USA",2020,1,76,205,"G"
"12",2607,"Nathan","Knight","1997-09-20","USA",2020,1,82,253,"F-C"
"13",455,"Rajon","Rondo","1986-02-22","USA",2006,15,73,180,"G"
"14",181,"Danilo","Gallinari","1988-08-08","Italy",2008,12,82,236,"F"
"15",492,"Tony","Snell","1991-11-10","USA",2013,8,78,213,"G"
"16",239,"Solomon","Hill","1991-03-18","USA",2013,0,NA,NA,NA
"17",92,"Clint","Capela","1994-05-18","Switzerland",2014,7,82,256,"C"
"18",743,"Bogdan","Bogdanovic","1992-08-18","Serbia",2017,4,78,225,"G"
