"","id","firstname","lastname","birth.date","birth.country","nba.start","nba.pro","height.feets","height.inches","height.meters","weight.pounds","weight.kilograms","college","affiliation","leagues.standard.jersey","leagues.standard.active","leagues.standard.pos","leagues.africa.jersey","leagues.africa.active","leagues.africa.pos","leagues.vegas.jersey","leagues.vegas.active","leagues.vegas.pos","leagues.utah.jersey","leagues.utah.active","leagues.utah.pos","leagues.sacramento.jersey","leagues.sacramento.active","leagues.sacramento.pos"
"1", 553,"Lou","Williams",1986-10-27,USA,2005,  16,6,2,1.88,175,79.4,"South Gwinnett HS (GA)","South Gwinnett HS (GA)/USA", 6,TRUE,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2", 402,"Jahlil","Okafor",NA,NA,   0,   0,NA,NA,NA,NA,NA,NA,NA,14,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3", 564,"Delon","Wright",1992-04-26,USA,2015,   6,6,5,1.96,185,83.9,"Utah","Utah/USA",55,TRUE,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4", 588,"Cat","Barber",1994-07-25,USA,2021,   0,NA,NA,NA,NA,NA,"North Carolina State","North Carolina State/USA", 5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5", 329,"Timothe","Luwawu-Cabarrot",1995-05-09,France,2016,   5,6,7,2.01,215,97.5,"Mega Basket","Mega Basket/France", 7,TRUE,G-F,NA,TRUE,G-F,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6", 761,"John","Collins",1997-09-23,USA,2017,   4,6,9,2.06,226,102.5,"Wake Forest","Wake Forest/USA",20,TRUE,F-C,20,TRUE,F-C,20,TRUE,F-C,20,TRUE,F-C,NA,NA,NA
"7", 738,"Jordan","Bell",1995-01-07,USA,2017,   4,6,7,2.01,216,98.0,"Oregon","Oregon/USA",20,TRUE,F,NA,NA,NA,24,TRUE,F,NA,NA,NA, 2,TRUE,F
"8", 802,"Wes","Iwundu",1994-12-20,USA,2017,   0,NA,NA,NA,NA,NA,"Kansas State","Kansas State/USA", 4,TRUE,F,NA,NA,NA,25,TRUE,F,NA,NA,NA,NA,NA,NA
"9",1011,"Cameron","Oliver",1996-07-11,USA,2020,   1,6,8,2.03,239,108.4,"Nevada","Nevada/USA",21,TRUE,F,NA,NA,NA,27,TRUE,F,NA,NA,NA,27,TRUE,F
"10", 980,"Kevin","Huerter",1998-08-27,USA,2018,   3,6,7,2.01,198,89.8,"Maryland","Maryland/USA", 9,TRUE,G-F,NA,NA,NA, 1,TRUE,G, 1,TRUE,G,NA,NA,NA
"11", 987,"Kevin","Knox II",1999-08-11,USA,2018,   3,6,7,2.01,215,97.5,"Kentucky","Kentucky/USA", 5,TRUE,F,NA,NA,NA,20,TRUE,F,NA,NA,NA,NA,NA,NA
"12",1046,"Trae","Young",1998-09-19,USA,2018,   3,6,1,1.85,164,74.4,"Oklahoma","Oklahoma/USA",11,TRUE,G,NA,NA,NA,11,TRUE,G,11,TRUE,G,NA,NA,NA
"13", 977,"Johnny","Hamilton",NA,NA,   0,   0,NA,NA,NA,NA,NA,NA,NA,24,FALSE,NA,NA,NA,NA,49,TRUE,C,NA,NA,NA,NA,NA,NA
"14", 923,"DeVaughn","Akoon-Purcell",NA,NA,   0,   0,NA,NA,NA,NA,NA,NA,NA,44,FALSE,NA,NA,NA,NA,42,TRUE,F,NA,NA,NA,NA,NA,NA
"15",2211,"Justin","Tillman",NA,NA,   0,   0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,F,NA,NA,NA,64,TRUE,F,NA,NA,NA,NA,NA,NA
"16",2165,"Chris","Clemons",NA,NA,   0,   0,NA,NA,NA,NA,NA,NA,NA,39,FALSE,NA,NA,NA,NA,39,TRUE,G,NA,NA,NA,NA,NA,NA
"17",2579,"Javin","DeLaurier",1998-04-07,USA,   0,   0,6,10,2.08,234,106.1,"Duke","Duke/USA",12,TRUE,C,NA,NA,NA,40,TRUE,F-C,NA,NA,NA,NA,NA,NA
"18",1948,"DaQuan","Jeffries",1997-08-30,USA,2019,   3,6,5,1.96,225,102.1,"Tulsa","Tulsa/USA", 8,TRUE,G-F,NA,NA,NA,16,TRUE,F,55,TRUE,G-F,NA,NA,NA
