"","player.id","player.firstname","player.lastname","team.id","team.name","team.nickname","team.code","team.logo","game","points","pos","min","fgm","fga","fgp","ftm","fta","ftp","tpm","tpa","tpp","offReb","defReb","totReb","assists","pFouls","steals","turnovers","blocks","plusMinus","comment"
"1",1868,De'Andre,Hunter,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133,18,"SF","26:07", 5,10,"50.0", 6, 8,"75.0", 2, 5,"40.0", 1, 2, 3, 0, 3, 0, 1, 1,"-9",NA
"2", 761,John,Collins,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133,14,"PF","22:09", 4, 6,"66.7", 5, 6,"83.3", 1, 1,"100", 4, 5, 9, 1, 4, 2, 4, 1,"-4",NA
"3",  92,Clint,Capela,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 8,"C","20:05", 4, 6,"66.7", 0, 1,"0.0", 0, 0,"0.0", 5, 9,14, 0, 0, 0, 2, 0,"-5",NA
"4", 743,Bogdan,Bogdanovic,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 9,"SG","23:18", 3,10,"30.0", 2, 2,"100", 1, 5,"20.0", 1, 3, 4, 2, 0, 1, 1, 0,"10",NA
"5",1046,Trae,Young,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 7,"PG","22:10", 2, 9,"22.2", 3, 4,"75.0", 0, 2,"0.0", 1, 1, 2, 6, 2, 1, 6, 0,"-10",NA
"6", 152,Kris,Dunn,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DND - Injury / Illness"
"7",1858,Bruno,Fernando,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 8,NA,"17:15", 2, 7,"28.6", 4, 4,"100", 0, 0,"0.0", 2, 7, 9, 0, 4, 0, 0, 0,"-10",NA
"8", 181,Danilo,Gallinari,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133,14,NA,"20:15", 3, 7,"42.9", 7, 8,"87.5", 1, 5,"20.0", 0, 4, 4, 0, 2, 1, 0, 1,"14",NA
"9",1063,Brandon,Goodwin,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 7,NA,"17:58", 3,10,"30.0", 0, 0,"0.0", 1, 3,"33.3", 1, 1, 2, 3, 1, 0, 2, 0,"-4",NA
"10", 239,Solomon,Hill,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,8133, 3,NA,"15:06", 1, 2,"50.0", 0, 0,"0.0", 1, 2,"50.0", 0, 1, 1, 1, 2, 1, 0, 0,"-3",NA
