"","id","firstname","lastname","birth.date","birth.country","nba.start","nba.pro","height.feets","height.inches","height.meters","weight.pounds","weight.kilograms","college","affiliation","leagues.standard.jersey","leagues.standard.active","leagues.standard.pos","height_meters","weight_pounds","leagues_standard_pos","birth_country"
"1",475,"Thabo","Sefolosha",1984-05-02,Switzerland,2006,  14,6,6,1.98,215,97.5,"Angelico Biella","Angelico Biella/Switzerland",18,TRUE,F-G,1.98,215,"F-G","Switzerland"
"2",366,"Paul","Millsap",1985-02-10,USA,2006,  15,6,7,2.01,257,116.6,"Louisiana Tech","Louisiana Tech/USA", 8,TRUE,F,2.01,257,"F","USA"
"3",248,"Al","Horford",1986-06-03,Dominican Republic,2007,  14,6,9,2.06,240,108.9,"Florida","Florida/Dominican Republic",42,TRUE,C-F,2.06,240,"C-F","Dominican Republic"
"4",495,"Tiago","Splitter",1985-01-01,Brazil,2010,   6,6,11,2.11,245,111.1,"Blumenau, Brazil","Saski Baskonia/Brazil",47,FALSE,C-F,2.11,245,"C-F","Brazil"
"5",505,"Jeff","Teague",1988-06-10,USA,2009,  12,6,3,1.9,195,88.5,"Wake Forest","Wake Forest/USA", 5,TRUE,G,1.90,195,"G","USA"
"6",474,"Mike","Scott",1988-07-16,USA,2012,   9,6,7,2.01,237,107.5,"Virginia","Virginia/USA", 1,TRUE,F,2.01,237,"F","USA"
"7", 44,"Kent","Bazemore",1989-07-01,USA,2012,   9,6,4,1.93,195,88.5,"Old Dominion","Old Dominion/USA",24,TRUE,G-F,1.93,195,"G-F","USA"
"8",243,"Justin","Holiday",1989-04-05,USA,2012,   8,6,6,1.98,180,81.6,"Washington","Washington/USA", 9,TRUE,F-G,1.98,180,"F-G","USA"
"9",472,"Dennis","Schroder",1993-09-15,Germany,2013,   8,6,1,1.85,172,78.0,"Braunschweig","Braunschweig/Germany",17,TRUE,G,1.85,172,"G","Germany"
"10",384,"Mike","Muscala",1991-07-01,USA,2013,   8,6,10,2.08,240,108.9,"Bucknell","Bucknell/USA",33,TRUE,F-C,2.08,240,"F-C","USA"
"11",215,"Tim","Hardaway Jr.",1992-03-16,USA,2013,   8,6,5,1.96,205,93.0,"Michigan","Michigan/USA",11,TRUE,G-F,1.96,205,"G-F","USA"
"12",413,"Lamar","Patterson",1991-08-12, ,2015,   0,6,5,1.96,225,102.1,"Pittsburgh",NA,13,FALSE,G-F,1.96,225,"G-F"," "
"13",504,"Edy","Tavares",1992-03-22,Cabo Verde,2015,   1,7,3,2.21,265,120.2,NA,"CapeCabo VerdeVerde/Cabo Verde",40,FALSE,C,2.21,265,"C","Cabo Verde"
"14",241,"Kirk","Hinrich",1981-01-02,USA,2003,  12,6,4,1.93,190,86.2,"Kansas",NA,12,FALSE,G,1.93,190,"G","USA"
"15",299,"Kyle","Korver",1981-03-17,USA,2003,  17,6,7,2.01,212,96.2,"Creighton","Creighton/USA",26,TRUE,G-F,2.01,212,"G-F","USA"
"16",253,"Kris","Humphries",1985-02-06,USA,2004,  12,6,9,2.06,235,106.6,"Minnesota","Minnesota/USA",43,FALSE,F,2.06,235,"F","USA"
