"","first_name","last_name","overall_ppg","overall_rpg","overall_mpg","games","games_played","games_not_played","games_started","games_start_pct","starter","likely_starter"
"1","Tahjere","McCall",7,4.28571428571429,20.5714285714286,10,7,3,4,0.571428571428571,1,1
"2","Nick","Ward",6.6,6.4,16.6,5,5,0,4,0.8,1,1
"3","Omari","Spellman",12,8,25.5,3,2,1,2,1,1,1
"4","Matt","Mooney",9.2,2.8,23,5,5,0,1,0.2,1,0
"5","Jordan","Sibert",14.6,1.6,21.6,8,5,3,2,0.4,1,0
"6","Jaylen","Adams",7.25,2.25,28.25,5,4,1,4,1,1,1
"7","Charlie","Brown Jr.",5.4375,1.375,11.625,35,16,19,3,0.1875,1,0
"8","Landen","Lucas",0.333333333333333,1.33333333333333,4,5,3,2,0,0,NA,0
"9","Amine","Noua",6.66666666666667,3.66666666666667,17.6666666666667,5,3,2,1,0.333333333333333,1,0
"10","Reid","Travis",4.2,4,12.4,5,5,0,0,0,NA,0
"11","Thomas","Wimbush",7,3.4,16.2,5,5,0,0,0,NA,0
"12","DeAndre","Hunter",6,3,21,1,1,0,1,1,1,1
"13","Bruno","Fernando",4.203125,3.5,13.625,69,64,5,16,0.25,1,0
"14","De'Andre","Hunter",12.1014492753623,4.34782608695652,31.1739130434783,71,69,2,66,0.956521739130435,1,1
"15","Sedrick","Barefield",6,1,10.5,3,2,1,0,0,NA,0
"16","John","Collins",20.5777777777778,9.91111111111111,32.5111111111111,50,45,5,45,1,1,1
"17","Damian","Jones",5.38983050847458,3.77966101694915,16.3220338983051,72,59,13,28,0.474576271186441,1,0
"18","DeAndre'","Bembry",6.27659574468085,3.85106382978723,21.9787234042553,51,47,4,7,0.148936170212766,1,0
"19","Trae","Young",28.6461538461538,4.29230769230769,34.6153846153846,67,65,2,65,1,1,1
"20","Armoni","Brooks",3.5,1,8.75,5,4,1,0,0,NA,0
"21","Vince","Carter",5.23076923076923,2.06153846153846,14.7384615384615,67,65,2,0,0,NA,0
"22","Allen","Crabbe",5.10714285714286,2.32142857142857,18.6785714285714,35,28,7,1,0.0357142857142857,1,0
"23","Marcus","Derrickson",1,2,6.5,5,2,3,0,0,NA,0
"24","Brandon","Goodwin",5.81578947368421,1.97368421052632,12.7631578947368,47,38,9,1,0.0263157894736842,1,0
"25","Kevin","Huerter",12.2142857142857,4.08928571428571,31.5,60,56,4,48,0.857142857142857,1,1
"26","Alex","Len",8.26666666666667,5.73333333333333,18.5555555555556,46,45,1,13,0.288888888888889,1,0
"27","Jabari","Parker",14.5135135135135,6.16216216216216,25.7027027027027,37,37,0,24,0.648648648648649,1,1
"28","Chandler","Parsons",2.8,1.4,10.6,26,5,21,0,0,NA,0
"29","Cam","Reddish",10.258064516129,3.61290322580645,26.1290322580645,63,62,1,37,0.596774193548387,1,1
"30","Ray","Spalding",NA,NA,NA,1,0,1,0,NA,NA,NA
"31","Evan","Turner",3.09090909090909,2,12.8181818181818,31,22,9,0,0,NA,0
"32","Tyrone","Wallace",2.85714285714286,1.57142857142857,11.5,21,14,7,0,0,NA,0
"33","Paul","Watson",0,1,8.5,5,2,3,0,0,NA,0
"34","Treveon","Graham",3.27272727272727,2.27272727272727,12.0454545454545,25,22,3,0,0,NA,0
"35","Jeff","Teague",7.72,2.16,20.72,25,25,0,4,0.16,1,0
"36","Dewayne","Dedmon",8.1,8.2,23.5,10,10,0,8,0.8,1,1
